연번,수송일자,호선,역번호,역명,승하차구분,승객유형,인원수
429,2023-02-12,9,4126,언주역,하차,무임권,577
430,2023-02-12,9,4126,언주역,하차,정기권,40
431,2023-02-13,9,4126,언주역,승차,일반,10648
432,2023-02-13,9,4126,언주역,승차,어린이,47
433,2023-02-13,9,4126,언주역,승차,청소년,134
434,2023-02-13,9,4126,언주역,승차,무임권,1065
435,2023-02-13,9,4126,언주역,승차,정기권,242
436,2023-02-13,9,4126,언주역,하차,일반,10996
437,2023-02-13,9,4126,언주역,하차,어린이,55
438,2023-02-13,9,4126,언주역,하차,청소년,142
439,2023-02-13,9,4126,언주역,하차,무임권,1072
440,2023-02-13,9,4126,언주역,하차,정기권,266
441,2023-02-14,9,4126,언주역,승차,일반,11127
442,2023-02-14,9,4126,언주역,승차,어린이,57
443,2023-02-14,9,4126,언주역,승차,청소년,152
444,2023-02-14,9,4126,언주역,승차,무임권,1135
445,2023-02-14,9,4126,언주역,승차,정기권,283
446,2023-02-14,9,4126,언주역,하차,일반,11319
447,2023-02-14,9,4126,언주역,하차,어린이,61
448,2023-02-14,9,4126,언주역,하차,청소년,143
449,2023-02-14,9,4126,언주역,하차,무임권,1107
450,2023-02-14,9,4126,언주역,하차,정기권,298
451,2023-02-15,9,4126,언주역,승차,일반,11082
452,2023-02-15,9,4126,언주역,승차,어린이,60
453,2023-02-15,9,4126,언주역,승차,청소년,164
454,2023-02-15,9,4126,언주역,승차,무임권,1130
455,2023-02-15,9,4126,언주역,승차,정기권,278
456,2023-02-15,9,4126,언주역,하차,일반,11399
457,2023-02-15,9,4126,언주역,하차,어린이,52
458,2023-02-15,9,4126,언주역,하차,청소년,140
459,2023-02-15,9,4126,언주역,하차,무임권,1076
460,2023-02-15,9,4126,언주역,하차,정기권,289
461,2023-02-16,9,4126,언주역,승차,일반,10884
462,2023-02-16,9,4126,언주역,승차,어린이,61
463,2023-02-16,9,4126,언주역,승차,청소년,159
464,2023-02-16,9,4126,언주역,승차,무임권,1113
465,2023-02-16,9,4126,언주역,승차,정기권,245
466,2023-02-16,9,4126,언주역,하차,일반,11222
467,2023-02-16,9,4126,언주역,하차,어린이,64
468,2023-02-16,9,4126,언주역,하차,청소년,138
469,2023-02-16,9,4126,언주역,하차,무임권,1103
470,2023-02-16,9,4126,언주역,하차,정기권,292
471,2023-02-17,9,4126,언주역,승차,일반,10927
472,2023-02-17,9,4126,언주역,승차,어린이,59
473,2023-02-17,9,4126,언주역,승차,청소년,176
474,2023-02-17,9,4126,언주역,승차,무임권,1120
475,2023-02-17,9,4126,언주역,승차,정기권,251
476,2023-02-17,9,4126,언주역,하차,일반,10909
477,2023-02-17,9,4126,언주역,하차,어린이,65
478,2023-02-17,9,4126,언주역,하차,청소년,154
479,2023-02-17,9,4126,언주역,하차,무임권,1073
480,2023-02-17,9,4126,언주역,하차,정기권,270
481,2023-02-18,9,4126,언주역,승차,일반,5623
482,2023-02-18,9,4126,언주역,승차,어린이,138
483,2023-02-18,9,4126,언주역,승차,청소년,257
484,2023-02-18,9,4126,언주역,승차,무임권,815
485,2023-02-18,9,4126,언주역,승차,정기권,116
486,2023-02-18,9,4126,언주역,하차,일반,5705
487,2023-02-18,9,4126,언주역,하차,어린이,126
488,2023-02-18,9,4126,언주역,하차,청소년,232
489,2023-02-18,9,4126,언주역,하차,무임권,813
490,2023-02-18,9,4126,언주역,하차,정기권,113
491,2023-02-19,9,4126,언주역,승차,일반,3426
492,2023-02-19,9,4126,언주역,승차,어린이,106
493,2023-02-19,9,4126,언주역,승차,청소년,215
494,2023-02-19,9,4126,언주역,승차,무임권,561
495,2023-02-19,9,4126,언주역,승차,정기권,41
496,2023-02-19,9,4126,언주역,하차,일반,3314
497,2023-02-19,9,4126,언주역,하차,어린이,87
498,2023-02-19,9,4126,언주역,하차,청소년,202
499,2023-02-19,9,4126,언주역,하차,무임권,594
500,2023-02-19,9,4126,언주역,하차,정기권,46
501,2023-02-20,9,4126,언주역,승차,일반,10716
502,2023-02-20,9,4126,언주역,승차,어린이,47
503,2023-02-20,9,4126,언주역,승차,청소년,131
504,2023-02-20,9,4126,언주역,승차,무임권,1133
505,2023-02-20,9,4126,언주역,승차,정기권,255
506,2023-02-20,9,4126,언주역,하차,일반,10970
507,2023-02-20,9,4126,언주역,하차,어린이,51
508,2023-02-20,9,4126,언주역,하차,청소년,128
509,2023-02-20,9,4126,언주역,하차,무임권,1070
510,2023-02-20,9,4126,언주역,하차,정기권,288
511,2023-02-21,9,4126,언주역,승차,일반,10689
